node_tag,ux_m,uy_m,uz_m,magnitude_m
1,0,0,0,0.0
2,0,0,0,0.0
3,2.6151913461224507e-18,5.9562340180199226e-05,0.0003631053462266926,0.0003679581019982412
4,4.539291006078205e-18,6.419077876325054e-05,-0.0002872974247949559,0.0002943811583169784
5,4.864988423373587e-18,0.00010894542214446382,-0.0007028226642558111,0.0007112164244432717
6,9.617981093160238e-18,0.00010334943603785882,-0.0006697547207969219,0.0006776817040167945
7,6.229155032755517e-18,0.0001453568152804528,-0.0009230118875621784,0.0009343872582230406
8,1.0595431006687769e-17,0.00014503388537564563,-0.0009122016183596947,0.0009236593638594274
9,6.6209856502159565e-18,0.00017537052391207163,-0.0009794759163336754,0.0009950517028450771
10,1.0334858073052433e-17,0.0001829671241882694,-0.0009738449565180297,0.0009908839325921722
11,6.3619748596599944e-18,0.00020258779108152242,-0.0008794665921936832,0.0009024983655830412
12,1.0839583768641206e-17,0.00021318228454394352,-0.0008683973905801071,0.0008941815891695121
13,5.1550380888357834e-18,0.00023480368972649888,-0.0006424786651476645,0.0006840406478266499
14,1.0172696224809148e-17,0.00021000402084998064,-0.0006137571215165934,0.000648690598810784
15,3.1626055806620738e-18,0.0002750799528973812,-0.00031978853984304336,0.00042182187081868004
16,4.830634591813783e-18,0.00013548934530045013,-0.000257125202986624,0.00029063849143025984
17,0,0.0003185448026358604,0,0.0003185448026358604
18,0,0,0,0.0
19,6.0253091516049336e-18,0.0003725754076511152,0.0005743305738595742,0.0006845933409377151
20,-4.860100310807269e-18,0.00019648080971419436,0.0005010150924670977,0.0005381643164180991
21,1.110298606256154e-17,0.0004185185630600389,0.0010652747395675155,0.001144538360382245
22,-1.1542976007190543e-17,0.0003640343612000985,0.001032898132344878,0.0010951710222316426
23,1.410104981703322e-17,0.0004537203326117876,0.0009744918439838623,0.0010749402282063962
24,-1.456714492972458e-17,0.00046777291592163257,0.0009630569553332604,0.001070649429124957
25,1.538181390858424e-17,0.00048143480630883663,0.00034795976635874475,0.0005940163901190432
26,-1.5334849278567914e-17,0.000519498821068076,0.0003444658271176942,0.0006233263440149133
27,1.5326212746159582e-17,0.0005032427991937055,-0.0007184936233749689,0.0008772037401714655
28,1.475365193524738e-17,0.0005484762318363525,-0.0007100702768547033,0.0008972323974099014
29,-1.2513468381228019e-17,0.0005360823025488546,-0.0010187657129688671,0.001151202767989656
30,1.1022129746143632e-17,0.0004943748398541733,-0.0009949095558703027,0.0011109687244215665
31,-6.6820975895449585e-18,0.0005771071303719381,-0.0006638231449178407,0.000879610031579191
32,4.299606235617341e-18,0.0002897413424444017,-0.0005617291483416513,0.0006320519611694287
33,0,0.0006109403249386779,0,0.0006109403249386779
34,0,0,0,0.0
35,6.8790019393552624e-18,0.0006367451033892388,0.000799778712159055,0.0010222965886243429
36,-4.565579365062775e-18,0.0003357408145191913,0.0006773607105299876,0.0007560022663350288
37,1.3103391647833445e-17,0.0006574506062853738,0.0013481691192219457,0.0014999337564468246
38,-1.1411354780317705e-17,0.0005870094375691963,0.0013037375297123076,0.0014297942600862736
39,1.650860702840898e-17,0.0006822030403308815,0.0010924559408795578,0.0012879677678419358
40,1.5869206484258844e-17,0.000701927218534462,0.0010781806975695915,0.0012865362166418703
41,1.7239498143097938e-17,0.0007033517573916613,-0.00029182398052432853,0.000761488627777856
42,1.6950064222397493e-17,0.000737484904413073,-0.00028847603335172873,0.0007918979770497631
43,1.6014734644582887e-17,0.0007093719931545503,-0.0010308785353482922,0.0012513669243327074
44,1.6347117331058083e-17,0.0007447993063874139,-0.0010160063749705297,0.001259759882190225
45,1.2870702649888681e-17,0.0007202743342588176,-0.0013017669989689442,0.0014877474369652244
46,1.2775522303815946e-17,0.0006571217862770641,-0.001263579669233796,0.0014242340476554225
47,7.510934701368089e-18,0.000742634873773036,-0.0007979912965939042,0.0010900902096540055
48,5.60255546557561e-18,0.0003877767534487579,-0.0006733220424717813,0.0007770028207115016
49,0,0.0007573139007130194,0,0.0007573139007130194
50,0,0,0,0.0
51,0,0,0,0.0
52,0,0,0,0.0
53,2.528280128322542e-18,5.9562340180197796e-05,0.0003631053462267215,0.0003679581019982695
54,4.5596869833724444e-18,6.419077876325875e-05,-0.00028729742479498147,0.0002943811583170052
55,4.909966797883391e-18,0.0001089454221444598,-0.0007028226642558933,0.0007112164244433524
56,9.647648095399712e-18,0.00010334943603786275,-0.0006697547207970031,0.0006776817040168754
57,6.501418001172819e-18,0.00014535681528044553,-0.0009230118875623341,0.0009343872582231933
58,1.0578857367609186e-17,0.00014503388537564306,-0.0009122016183598497,0.00092365936385958
59,6.6987416457495135e-18,0.00017537052391206303,-0.0009794759163338801,0.000995051702845277
60,1.0266413342900163e-17,0.00018296712418826246,-0.0009738449565182328,0.0009908839325923706
61,6.3538809831268e-18,0.00020258779108151548,-0.0008794665921938686,0.0009024983655832204
62,1.086345166831129e-17,0.0002131822845439341,-0.0008683973905802925,0.0008941815891696899
63,5.0717004928150806e-18,0.00023480368972649308,-0.0006424786651477786,0.0006840406478267549
64,1.014134871587032e-17,0.00021000402084997058,-0.0006137571215167061,0.0006486905988108874
65,3.126775711153998e-18,0.0002750799528973732,-0.00031978853984308104,0.0004218218708187034
66,4.826715366197837e-18,0.00013548934530044436,-0.0002571252029866605,0.00029063849143028944
67,0,0.00031854480263584806,0,0.00031854480263584806
68,0,0,0,0.0
69,6.017270103362442e-18,0.0003725754076510981,0.0005743305738595456,0.0006845933409376817
70,-4.915023264972653e-18,0.0001964808097141856,0.0005010150924670717,0.0005381643164180717
71,1.1202236321598019e-17,0.00041851856306001755,0.0010652747395674567,0.0011445383603821825
72,-1.1452416416214077e-17,0.0003640343612000804,0.0010328981323448226,0.0010951710222315842
73,1.3923978641631763e-17,0.0004537203326117621,0.0009744918439838109,0.001074940228206339
74,-1.422109711994158e-17,0.000467772915921607,0.0009630569553332077,0.0010706494291248985
75,-1.5673588316588693e-17,0.00048143480630880877,0.00034795976635872995,0.0005940163901190119
76,-1.5340182470515483e-17,0.0005194988210680469,0.0003444658271176794,0.0006233263440148808
77,-1.5446616268090056e-17,0.0005032427991936773,-0.0007184936233749359,0.0008772037401714223
78,1.4797396130884467e-17,0.000548476231836322,-0.0007100702768546705,0.0008972323974098568
79,-1.2541914444111357e-17,0.000536082302548826,-0.0010187657129688212,0.001151202767989602
80,1.1101263773202216e-17,0.0004943748398541463,-0.0009949095558702571,0.0011109687244215136
81,-6.663809058980417e-18,0.0005771071303719077,-0.0006638231449178105,0.0008796100315791484
82,4.312895597871197e-18,0.000289741342444386,-0.0005617291483416259,0.000632051961169399
83,0,0.0006109403249386449,0,0.0006109403249386449
84,0,0,0,0.0
85,6.881488355425226e-18,0.0006367451033892028,0.000799778712159018,0.0010222965886242915
86,-4.492550950717395e-18,0.0003357408145191699,0.0006773607105299569,0.0007560022663349917
87,1.3180772793783289e-17,0.0006574506062853335,0.0013481691192218847,0.0014999337564467522
88,1.156060760109866e-17,0.00058700943756916,0.0013037375297122486,0.0014297942600862048
89,1.6233784758407376e-17,0.0006822030403308362,0.0010924559408795095,0.0012879677678418707
90,1.6179258330186003e-17,0.0007019272185344179,0.0010781806975695446,0.001286536216641807
91,1.708382753322208e-17,0.0007033517573916108,-0.000291823980524324,0.0007614886277778075
92,1.6707504879847742e-17,0.0007374849044130227,-0.0002884760333517244,0.0007918979770497147
93,1.610768454280018e-17,0.0007093719931545008,-0.0010308785353482567,0.00125136692433265
94,1.631558920539999e-17,0.000744799306387364,-0.0010160063749704948,0.0012597598821901673
95,1.2838155719877563e-17,0.0007202743342587717,-0.0013017669989688987,0.0014877474369651624
96,1.2676699424241195e-17,0.0006571217862770217,-0.0012635796692337551,0.0014242340476553668
97,7.53064743111888e-18,0.0007426348737729913,-0.0007979912965938775,0.0010900902096539554
98,5.630621289831084e-18,0.0003877767534487322,-0.0006733220424717591,0.0007770028207114696
99,0,0.000757313900712975,0,0.000757313900712975
100,0,0,0,0.0
