node_tag,ux_m,uy_m,uz_m,magnitude_m
1,0,0,0,0.0
2,0,0,0,0.0
3,1.854837679590753e-18,4.3195553103554116e-05,0.0007383798155741745,0.0007396422161121375
4,1.2935571156399014e-17,-0.000175348049715107,0.000612387458896851,0.0006369971258593198
5,-4.057977795052581e-18,5.988773086186729e-05,0.0017242940376306834,0.0017253337267081137
6,2.6621288971066024e-17,-0.0001905183800300623,0.0016675346739359635,0.0016783828949044968
7,-6.913427807735037e-18,5.41293120103455e-05,0.0027054088344150963,0.0027059502847890543
8,2.769158637254694e-17,-0.00014547499078264477,0.0026804067685045206,0.0026843515823356777
9,-8.434049268549324e-18,-0.0001170053676024861,0.00317307194213914,0.0031752284651719864
10,2.569436897322167e-17,-0.00012772664238341815,0.0031560088807732747,0.003158592431874413
11,-7.40183330778109e-18,-0.00020439696276582323,0.002813899381400367,0.0028213131423210115
12,2.845838406499578e-17,0.00011735603672136433,0.0027897503967937803,0.002792217705653698
13,-4.5261297607100986e-18,-0.0002697494930630876,0.0018484605828318268,0.0018680394308715138
14,2.808713496336094e-17,9.907801302390562e-05,0.00179776964702777,0.0018004977524115708
15,-2.4603584721383186e-18,-0.00028960126273331276,0.0007814835672919027,0.0008334179367664263
16,1.3665007952686591e-17,9.751002129931331e-05,0.0006661418481780612,0.0006732407935856796
17,0,-0.00029065462455898775,0,0.00029065462455898775
18,0,0,0,0.0
19,-5.902122253145856e-18,0.0002945969237017829,0.0009063882103155654,0.0009530618737802954
20,-1.3025007318679382e-17,-0.0001592444804605235,0.0008138017343044236,0.0008292358333514235
21,-1.1219994101936768e-17,0.0002796095155016876,0.0022171951316625918,0.0022347563028275335
22,-2.6561745449985043e-17,-0.00020849236896849785,0.0021850858498443067,0.002195010077222406
23,1.362888416729661e-17,0.00022613964816144467,0.0034371543772279997,0.0034445855125643464
24,-2.7287011733829465e-17,-0.00021511410852163124,0.003420684289812939,0.0034274414787503096
25,1.3880014426105304e-17,-0.00017566726373518526,0.0038761659295479802,0.0038801444948528352
26,-2.557724375907266e-17,-0.00021110550234371906,0.0038648174413723,0.0038705786890664458
27,1.3078101813342107e-17,-0.00016891740417503877,0.0032198816414439613,0.0032243093639322345
28,-2.7332850860396932e-17,-0.00021667897978579364,0.0032030276320327566,0.0032103482352926105
29,1.1552023869531474e-17,-0.00018657359465111916,0.001897630270405678,0.0019067800999016554
30,-2.6471328692408273e-17,0.000237874789849117,0.0018638536696524177,0.0018789717713479745
31,7.057604618766974e-18,-0.0001803270477525095,0.0006225550677119005,0.0006481455519286582
32,-1.3268331806535809e-17,0.00019489637694053078,0.0005931558956672367,0.0006243544780886474
33,0,-0.0001649265247033255,0,0.0001649265247033255
34,0,0,0,0.0
35,6.754095666872546e-18,-0.00015931738724140693,0.0009436444983790481,0.000956998938974581
36,-7.731189766162252e-18,-0.0003166215088843134,0.0008773846923007055,0.0009327663577615689
37,1.053759345471984e-17,-0.00014530874028726383,0.002786308086549971,0.0027900945115134777
38,-1.6081280974334216e-17,-0.0003834455318954277,0.002733820081597633,0.00276058014092637
39,-1.0779699022842052e-17,-0.00014205979770848506,0.004794708086287382,0.004796812130867184
40,-1.6788279803773983e-17,-0.000323382034490256,0.004768521782503722,0.004779474440819151
41,-9.86271460845501e-18,-0.0002478173149901748,0.005927794630714256,0.005932972493239262
42,-1.5412476696774413e-17,-0.00029044797063066264,0.005909903444740308,0.005917036314726894
43,-1.0911473053327255e-17,-0.00039789473928109357,0.005455463003697966,0.00546995400421839
44,-1.681619911958369e-17,-0.00025881197031469585,0.00543030214193742,0.005436466222529881
45,-1.040589089644849e-17,-0.0005205295644401361,0.0036887740770263204,0.0037253194787558314
46,-1.6036525978012908e-17,-0.00014955089910374298,0.0036392221221298723,0.0036422936627381088
47,-6.583881338097009e-18,-0.0005642790670816302,0.00161310501968492,0.0017089525066774681
48,-7.773078839109024e-18,8.559131911795555e-05,0.0014211285811277503,0.001423703732525319
49,0,-0.0005665403827232611,0,0.0005665403827232611
50,0,0,0,0.0
51,0,0,0,0.0
52,0,0,0,0.0
53,1.8320657361411963e-18,4.319555310356496e-05,0.0007383798155743551,0.0007396422161123184
54,1.3034678242376024e-17,-0.00017534804971514636,0.0006123874588970027,0.0006369971258594764
55,-4.025641480694492e-18,5.9887730861880054e-05,0.0017242940376311121,0.0017253337267085426
56,2.673212162074371e-17,-0.00019051838003009968,0.0016675346739363807,0.0016783828949049155
57,-6.835638511510071e-18,5.412931201034039e-05,0.0027054088344157768,0.0027059502847897343
58,2.728543192872682e-17,-0.00014547499078266336,0.0026804067685051946,0.0026843515823363516
59,-8.432685890490159e-18,-0.00011700536760249098,0.003173071942139933,0.0031752284651727788
60,2.5480582894964142e-17,-0.0001277266423834234,0.0031560088807740614,0.0031585924318751992
61,-7.365245490836606e-18,-0.00020439696276584765,0.002813899381401059,0.0028213131423217037
62,2.8600271746416294e-17,0.00011735603672135788,0.002789750396794469,0.0027922177056543857
63,-4.737134659715934e-18,-0.0002697494930631237,0.0018484605828322678,0.0018680394308719555
64,2.828605625401487e-17,9.907801302390028e-05,0.001797769647028197,0.0018004977524119967
65,-2.499880350123442e-18,-0.0002896012627333438,0.0007814835672920666,0.0008334179367665909
66,1.3736197576997525e-17,9.751002129933395e-05,0.000666141848178209,0.0006732407935858289
67,0,-0.00029065462455900683,0,0.00029065462455900683
68,0,0,0,0.0
69,-5.934558757710798e-18,0.0002945969237017878,0.0009063882103154691,0.0009530618737802053
70,-1.2937929381296009e-17,-0.00015924448046052616,0.00081380173430433,0.0008292358333513321
71,-1.1201218718045004e-17,0.0002796095155016848,0.002217195131662286,0.0022347563028272295
72,-2.6489948202041333e-17,-0.0002084923689685197,0.002185085849844008,0.0021950100772221105
73,-1.3769275909642258e-17,0.00022613964816144778,0.003437154377227506,0.003444585512563854
74,-2.7561044744416812e-17,-0.00021511410852165447,0.003420684289812453,0.0034274414787498256
75,1.3540505013435725e-17,-0.0001756672637351986,0.0038761659295474178,0.003880144494852274
76,-2.6155267829894288e-17,-0.00021110550234373568,0.003864817441371738,0.0038705786890658855
77,1.3123548628911212e-17,-0.00016891740417505061,0.003219881641443487,0.0032243093639317613
78,-2.722908490031225e-17,-0.00021667897978580245,0.0032030276320322852,0.0032103482352921413
79,1.143102961998066e-17,-0.0001865735946511224,0.0018976302704053988,0.0019067800999013778
80,-2.6607502994998258e-17,0.0002378747898491094,0.0018638536696521431,0.0018789717713477013
81,7.064631926110088e-18,-0.00018032704775251183,0.0006225550677118098,0.0006481455519285717
82,-1.3303703886119027e-17,0.0001948963769405147,0.0005931558956671491,0.0006243544780885591
83,0,-0.00016492652470333067,0,0.00016492652470333067
84,0,0,0,0.0
85,-6.770417013504541e-18,-0.0001593173872414144,0.0009436444983790871,0.0009569989389746206
86,-7.754147357829027e-18,-0.00031662150888430536,0.0008773846923007366,0.0009327663577615954
87,1.0498008344912165e-17,-0.00014530874028726893,0.0027863080865500314,0.0027900945115135385
88,-1.595643415191071e-17,-0.0003834455318954126,0.002733820081597693,0.002760580140926427
89,-1.0920451790976984e-17,-0.0001420597977084774,0.004794708086287445,0.004796812130867249
90,-1.6879739078489934e-17,-0.0003233820344902391,0.004768521782503779,0.004779474440819206
91,-1.0039211770852396e-17,-0.00024781731499016053,0.005927794630714292,0.0059329724932392965
92,-1.5490496067376272e-17,-0.00029044797063064513,0.005909903444740339,0.005917036314726925
93,-1.081466042554652e-17,-0.00039789473928107904,0.005455463003697967,0.00546995400421839
94,-1.7023597764593506e-17,-0.00025881197031468105,0.0054303021419374155,0.005436466222529875
95,-1.0437994520081715e-17,-0.0005205295644401232,0.0036887740770263134,0.0037253194787558227
96,-1.608828477998743e-17,-0.00014955089910373496,0.0036392221221298623,0.0036422936627380983
97,-6.512997584133765e-18,-0.0005642790670816185,0.0016131050196849146,0.001708952506677459
98,-7.769380579621832e-18,8.559131911795934e-05,0.0014211285811277451,0.001423703732525314
99,0,-0.0005665403827232503,0,0.0005665403827232503
100,0,0,0,0.0
