step,element_tag,element_id,kind,demand_ratio,state,mid_y,distance_to_support_m
0,72,M072,SPANDREL,0.0,BAJO,-110.072064875,3.3995156250000065
0,73,M073,SPANDREL,0.0,BAJO,-113.4715805,0.0
0,74,M074,DECK_LONG,0.0,BAJO,-37.439940018749994,1.379242418749996
0,75,M075,ARCH,0.0,BAJO,-37.439940018749994,1.379242418749996
0,76,M076,DECK_LONG,0.0,BAJO,-40.19842485625,4.1377272562500025
0,77,M077,ARCH,0.0,BAJO,-40.19842485625,4.1377272562500025
0,78,M078,DECK_LONG,0.0,BAJO,-42.95690969375,6.896212093750002
0,79,M079,ARCH,0.0,BAJO,-42.95690969375,6.896212093750002
0,80,M080,DECK_LONG,0.0,BAJO,-45.71539453125,9.654696931250001
0,81,M081,ARCH,0.0,BAJO,-45.71539453125,9.654696931250001
0,82,M082,DECK_LONG,0.0,BAJO,-48.47387936875,9.654696931250001
0,83,M083,ARCH,0.0,BAJO,-48.47387936875,9.654696931250001
0,84,M084,DECK_LONG,0.0,BAJO,-51.23236420625,6.896212093750002
0,85,M085,ARCH,0.0,BAJO,-51.23236420625,6.896212093750002
0,86,M086,DECK_LONG,0.0,BAJO,-53.99084904375,4.137727256249995
0,87,M087,ARCH,0.0,BAJO,-53.99084904375,4.137727256249995
0,88,M088,DECK_LONG,0.0,BAJO,-56.749333881249996,1.3792424187500032
0,89,M089,ARCH,0.0,BAJO,-56.749333881249996,1.3792424187500032
0,90,M090,DECK_LONG,0.0,BAJO,-59.887756249999995,1.7591799499999965
0,91,M091,ARCH,0.0,BAJO,-59.887756249999995,1.7591799499999965
0,92,M092,DECK_LONG,0.0,BAJO,-63.40611615,5.277539850000004
0,93,M093,ARCH,0.0,BAJO,-63.40611615,5.277539850000004
0,94,M094,DECK_LONG,0.0,BAJO,-66.92447605000001,8.795899750000011
0,95,M095,ARCH,0.0,BAJO,-66.92447605000001,8.795899750000011
0,96,M096,DECK_LONG,0.0,BAJO,-70.44283595,12.314259650000004
0,97,M097,ARCH,0.0,BAJO,-70.44283595,12.314259650000004
0,98,M098,DECK_LONG,0.0,BAJO,-73.96119585,12.314259650000011
0,99,M099,ARCH,0.0,BAJO,-73.96119585,12.314259650000011
0,100,M100,DECK_LONG,0.0,BAJO,-77.47955575,8.795899750000004
0,101,M101,ARCH,0.0,BAJO,-77.47955575,8.795899750000004
0,102,M102,DECK_LONG,0.0,BAJO,-80.99791565000001,5.277539849999997
0,103,M103,ARCH,0.0,BAJO,-80.99791565000001,5.277539849999997
0,104,M104,DECK_LONG,0.0,BAJO,-84.51627555000002,1.7591799499999894
0,105,M105,ARCH,0.0,BAJO,-84.51627555000002,1.7591799499999894
0,106,M106,DECK_LONG,0.0,BAJO,-87.97521331250002,1.6997578125000103
0,107,M107,ARCH,0.0,BAJO,-87.97521331250002,1.6997578125000103
0,108,M108,DECK_LONG,0.0,BAJO,-91.37472893750001,5.099273437500003
0,109,M109,ARCH,0.0,BAJO,-91.37472893750001,5.099273437500003
0,110,M110,DECK_LONG,0.0,BAJO,-94.7742445625,8.498789062499995
0,111,M111,ARCH,0.0,BAJO,-94.7742445625,8.498789062499995
0,112,M112,DECK_LONG,0.0,BAJO,-98.1737601875,11.898304687499987
0,113,M113,ARCH,0.0,BAJO,-98.1737601875,11.898304687499987
0,114,M114,DECK_LONG,0.0,BAJO,-101.57327581250001,11.898304687499987
0,115,M115,ARCH,0.0,BAJO,-101.57327581250001,11.898304687499987
0,116,M116,DECK_LONG,0.0,BAJO,-104.9727914375,8.498789062499995
0,117,M117,ARCH,0.0,BAJO,-104.9727914375,8.498789062499995
0,118,M118,DECK_LONG,0.0,BAJO,-108.3723070625,5.099273437500003
0,119,M119,ARCH,0.0,BAJO,-108.3723070625,5.099273437500003
0,120,M120,DECK_LONG,0.0,BAJO,-111.77182268749999,1.6997578125000103
0,121,M121,ARCH,0.0,BAJO,-111.77182268749999,1.6997578125000103
0,122,M122,SPANDREL,0.0,BAJO,-36.0606976,0.0
0,123,M123,SPANDREL,0.0,BAJO,-38.8191824375,2.7584848374999993
0,124,M124,SPANDREL,0.0,BAJO,-41.577667274999996,5.516969674999999
0,125,M125,SPANDREL,0.0,BAJO,-44.3361521125,8.275454512500005
0,126,M126,SPANDREL,0.0,BAJO,-47.094636949999995,11.033939349999997
0,127,M127,SPANDREL,0.0,BAJO,-49.8531217875,8.275454512499998
0,128,M128,SPANDREL,0.0,BAJO,-52.611606625,5.516969674999999
0,129,M129,SPANDREL,0.0,BAJO,-55.3700914625,2.7584848374999993
0,130,M130,SPANDREL,0.0,BAJO,-58.1285763,0.0
0,131,M131,SPANDREL,0.0,BAJO,-61.6469362,3.5183599
0,132,M132,SPANDREL,0.0,BAJO,-65.1652961,7.036719800000007
0,133,M133,SPANDREL,0.0,BAJO,-68.683656,10.5550797
0,134,M134,SPANDREL,0.0,BAJO,-72.2020159,14.0734396
0,135,M135,SPANDREL,0.0,BAJO,-75.7203758,10.555079700000007
0,136,M136,SPANDREL,0.0,BAJO,-79.2387357,7.0367198
0,137,M137,SPANDREL,0.0,BAJO,-82.75709560000001,3.518359899999993
0,138,M138,SPANDREL,0.0,BAJO,-86.2754555,0.0
0,139,M139,SPANDREL,0.0,BAJO,-89.67497112500001,3.3995156250000065
0,140,M140,SPANDREL,0.0,BAJO,-93.07448675,6.799031249999999
0,141,M141,SPANDREL,0.0,BAJO,-96.474002375,10.198546874999991
0,142,M142,SPANDREL,0.0,BAJO,-99.873518,13.598062499999997
0,143,M143,SPANDREL,0.0,BAJO,-103.27303362500001,10.198546874999991
0,144,M144,SPANDREL,0.0,BAJO,-106.67254925,6.799031249999999
0,145,M145,SPANDREL,0.0,BAJO,-110.072064875,3.3995156250000065
0,146,M146,SPANDREL,0.0,BAJO,-113.4715805,0.0
0,147,M147,DECK_CROSS,0.0,BAJO,-36.0606976,0.0
0,148,M148,DECK_CROSS,0.0,BAJO,-38.8191824375,2.7584848374999993
0,149,M149,DECK_CROSS,0.0,BAJO,-41.577667274999996,5.516969674999999
0,150,M150,DECK_CROSS,0.0,BAJO,-44.3361521125,8.275454512500005
0,151,M151,DECK_CROSS,0.0,BAJO,-47.094636949999995,11.033939349999997
0,152,M152,DECK_CROSS,0.0,BAJO,-49.8531217875,8.275454512499998
0,153,M153,DECK_CROSS,0.0,BAJO,-52.611606625,5.516969674999999
0,154,M154,DECK_CROSS,0.0,BAJO,-55.3700914625,2.7584848374999993
0,155,M155,DECK_CROSS,0.0,BAJO,-58.1285763,0.0
0,156,M156,DECK_CROSS,0.0,BAJO,-61.6469362,3.5183599
0,157,M157,DECK_CROSS,0.0,BAJO,-65.1652961,7.036719800000007
0,158,M158,DECK_CROSS,0.0,BAJO,-68.683656,10.5550797
0,159,M159,DECK_CROSS,0.0,BAJO,-72.2020159,14.0734396
0,160,M160,DECK_CROSS,0.0,BAJO,-75.7203758,10.555079700000007
0,161,M161,DECK_CROSS,0.0,BAJO,-79.2387357,7.0367198
0,162,M162,DECK_CROSS,0.0,BAJO,-82.75709560000001,3.518359899999993
0,163,M163,DECK_CROSS,0.0,BAJO,-86.2754555,0.0
0,164,M164,DECK_CROSS,0.0,BAJO,-89.67497112500001,3.3995156250000065
0,165,M165,DECK_CROSS,0.0,BAJO,-93.07448675,6.799031249999999
0,166,M166,DECK_CROSS,0.0,BAJO,-96.474002375,10.198546874999991
0,167,M167,DECK_CROSS,0.0,BAJO,-99.873518,13.598062499999997
0,168,M168,DECK_CROSS,0.0,BAJO,-103.27303362500001,10.198546874999991
0,169,M169,DECK_CROSS,0.0,BAJO,-106.67254925,6.799031249999999
0,170,M170,DECK_CROSS,0.0,BAJO,-110.072064875,3.3995156250000065
0,171,M171,DECK_CROSS,0.0,BAJO,-113.4715805,0.0
1,1,M001,DECK_LONG,0.03479962652761212,BAJO,-37.439940018749994,1.379242418749996
1,2,M002,ARCH,0.05625537426376004,BAJO,-37.439940018749994,1.379242418749996
1,3,M003,DECK_LONG,0.028838600743281286,BAJO,-40.19842485625,4.1377272562500025
1,4,M004,ARCH,0.0467417387490123,BAJO,-40.19842485625,4.1377272562500025
1,5,M005,DECK_LONG,0.03049870567509722,BAJO,-42.95690969375,6.896212093750002
1,6,M006,ARCH,0.0419767799434723,BAJO,-42.95690969375,6.896212093750002
1,7,M007,DECK_LONG,0.028489013541393608,BAJO,-45.71539453125,9.654696931250001
1,8,M008,ARCH,0.04597085823940723,BAJO,-45.71539453125,9.654696931250001
1,9,M009,DECK_LONG,0.02727191960845432,BAJO,-48.47387936875,9.654696931250001
1,10,M010,ARCH,0.044115532122121735,BAJO,-48.47387936875,9.654696931250001
1,11,M011,DECK_LONG,0.026750002853120174,BAJO,-51.23236420625,6.896212093750002
1,12,M012,ARCH,0.04338776414325288,BAJO,-51.23236420625,6.896212093750002
